baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (43ab429af4c39560, 391 from 1994-03-01)
168 IDENTICAL  0 NUMERICAL  219 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
2 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section   row  field               baseline                                 this run                     difference
-----  --------  ---  ------------------  ---------------------------------------  ---------------------------  ----------
MOVED  horizons  120  failing_gates       skill, calibration, robustness, honesty  skill, calibration, honesty
MOVED  run            configuration_hash  ad7fcc1affd0746a                         43ab429af4c39560

numeric fields, largest difference first:
band   section     row                                                               field                       baseline         this run          difference
-----  ----------  ----------------------------------------------------------------  --------------------------  ---------------  ----------------  ----------
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            brier_score                 0.3274256402     0.4182623168      +9.084e-02
MOVED  indicators  economy_in_recession_within_horizon @ 60                          reliability                 0.1689694922     0.07886098465     -9.011e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    brier_skill_score           -0.1457464089    -0.0577190112     +8.803e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 60                         expected_calibration_error  0.04913198866    0.1371143902      +8.798e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 120                        expected_calibration_error  0.07380261987    0.1598363536      +8.603e-02
MOVED  indicators  economy_in_recession_within_horizon @ 12                          logarithmic_loss            0.6262645815     0.5412142049      -8.505e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                reliability                 0.1808590879     0.09823985372     -8.262e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          brier_score                 0.27721253       0.3561695417      +7.896e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             expected_calibration_error  0.2813875364     0.3588165447      +7.743e-02
MOVED  indicators  economy_in_recession_within_horizon @ 120                         reliability                 0.09866769153    0.02159866696     -7.707e-02
MOVED  indicators  economy_in_recession_within_horizon @ 60                          brier_score                 0.356675172      0.2796779639      -7.700e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 120        area_under_the_curve        0.359562272      0.283741532       -7.582e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         brier_skill_score           0.3073482555     0.2352593435      -7.209e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          logarithmic_loss            0.5218899575     0.5920085259      +7.012e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 reliability                 0.1609794482     0.09139802898     -6.958e-02
MOVED  horizons    12                                                                skill_upper_bound           0.3275860512     0.258898984       -6.869e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   area_under_the_curve        0.3219348741     0.2542744222      -6.766e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                brier_score                 0.2352165227     0.1679789229      -6.724e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          expected_calibration_error  0.1390335382     0.205985134       +6.695e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    logarithmic_loss            0.8191620803     0.7526394295      -6.652e-02
