baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (9632ee1193541d34, 391 from 1994-03-01)
109 IDENTICAL  0 NUMERICAL  278 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
2 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section  row  field               baseline          this run          difference
-----  -------  ---  ------------------  ----------------  ----------------  ----------
MOVED  run           configuration_hash  ad7fcc1affd0746a  9632ee1193541d34
MOVED  run           state_count         6                 4

numeric fields, largest difference first:
band   section     row                                                               field                        baseline         this run         difference
-----  ----------  ----------------------------------------------------------------  ---------------------------  ---------------  ---------------  ----------
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             brier_skill_score            0.323015877      0.1940406743     -1.290e-01
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          area_under_the_curve         0.7379988433     0.8663967611     +1.284e-01
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 120   area_under_the_curve         0.4927572707     0.3820469799     -1.107e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                expected_calibration_error   0.3930489945     0.2836274019     -1.094e-01
MOVED  horizons    120                                                               skill_upper_bound            -0.12151414      -0.01405316851   +1.075e-01
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             logarithmic_loss             0.7201809581     0.8267941279     +1.066e-01
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              brier_skill_score            -0.1662840623    -0.06127073567   +1.050e-01
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              logarithmic_loss             0.9213679845     0.8175805787     -1.038e-01
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 12      area_under_the_curve         0.5055805431     0.6086623355     +1.031e-01
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 120             logarithmic_loss             0.898914978      0.7976006361     -1.013e-01
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 120             area_under_the_curve         0.3959238223     0.4971043546     +1.012e-01
MOVED  indicators  economy_in_recession_within_horizon @ 60                          brier_skill_score            -0.1265850748    -0.02553949849   +1.010e-01
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  logarithmic_loss             0.9238548529     0.8228344152     -1.010e-01
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 logarithmic_loss             0.9281822392     0.8338718837     -9.431e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         brier_skill_score            0.3073482555     0.4014434287     +9.410e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            expected_calibration_error   0.3507726253     0.4440301524     +9.326e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                reliability                  0.1808590879     0.08937490963    -9.148e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              logarithmic_loss             0.87332964       0.7846464407     -8.868e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             expected_calibration_error   0.2813875364     0.3695331458     +8.815e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 12      brier_skill_score            0.0861088127     0.174030792      +8.792e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 120             brier_skill_score            0.02440902152    0.110493212      +8.608e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 expected_calibration_error   0.3949716995     0.3100728776     -8.490e-02
MOVED  indicators  economy_in_recession_within_horizon @ 120                         logarithmic_loss             0.4604341833     0.3799820854     -8.045e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 120                        brier_skill_score            0.364888451      0.4407775511     +7.589e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 120                brier_score                  0.2352165227     0.1601012272     -7.512e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             area_under_the_curve         0.6253315043     0.5502819692     -7.505e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              brier_skill_score            -0.04592440361   0.02847443028    +7.440e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   expected_calibration_error   0.2450863016     0.3185385176     +7.345e-02
MOVED  indicators  economy_in_recession_within_horizon @ 60                          expected_calibration_error   0.3512103769     0.2793813324     -7.183e-02
MOVED  horizons    60                                                                skill_lower_bound            -0.199315615     -0.1298403302    +6.948e-02
